Name,Text
mountain climbers,"Steps : 


1.) To begin this exercise; start off in a push-up position by
    flexing one knee in and pushing one leg behind you.


2.) Switch your legs quickly into same stance and repeat for
    20-30 seconds.


3.) Return back to the starting position.


4.) Repeat this exercise for as many repetitions as needed"
decline pushup,"The decline pushup is a variation of the basic pushup. It’s done
with your feet on an elevated surface, which puts your body at a
downward angle.

Steps: 


1.) Kneel down with your back to the bench. Put your hands on the
    floor, shoulders over your wrists and elbows at 45 degrees.
    Place your feet on top of the bench.


2.) Brace your core, glutes, and quads. Bend your elbows and lower
    your chest to the floor, keeping your back and neck straight.


3.) Push into the floor to return to starting position, extending
    your elbows.


4.) Complete 2 to 4 sets of 8 to 20 repetitions.


Tips: Stop doing this exercise if you feel pain in your wrists,
      elbows, or shoulders."
lunges,"Steps :


1.) Start off standing up straight with your knees slightly
    bent then get into a lunge position, and squat down
    through your hips.


2.) Squat down so that your front leg is parallel with the
    floor and hold for a count.


3.) Return back to the starting position.


4.) Repeat for as many reps and sets as desired."
bench dips,"The bench dip exercise is one of the most basic and best workouts
for building the triceps and bigger arms.


Steps :


1.) Start off by placing two benches parallel to each other 3-4
    feet apart.


2.) Sit on one bench and place your feet on the edge of the other
    bench so that your legs are suspended between the two.


3.) Cross your feet for support, holding onto the bench with your
    hands for support and slowly lower body towards the floor by
    bending your elbows.


4.) Pause, hold for a count and then return to starting position.


5.) Repeat for as many reps and sets as desired."
squats,"Steps:


1.) Stand straight with feet hip-width apart.


2.) Tighten your stomach muscles.


3.) Lower down, as if sitting in an invisible chair.


4.) Straighten your legs to lift back up.


5.) Repeat the movement."
plank,"Steps : 


1.) Start off by kneeling on all fours and aligning both hands
    right below your shoulders keep your knees beneath your hips.


2.) Extend both of your feet out behind you and squeeze on your
    core muscles, making sure that your body is aligned straight 


3.) Hold this position for about 30 seconds to a minute.


4.) Release, return back to the starting position and repeat for
    as many times as you would like to perform this exercise.



"
side lunges,"Steps :


1.) Start off standing up straight with a slight bend in your
    knees.


2.) Step out to your side with your left leg and squat down
    through your hips.


3.) Lower yourself towards the floor so that your front leg is
    parallel with the floor and hold for a count.


4.) Return back to the starting position.


5.) Repeat for as many reps and sets as desired."
supermans,"The superman exercise is great for the lower stretching and
strengthening back and core muscles.


Steps : 


1.) Start off lying flat on your stomach with your arms
    stretched out in front of you.


2.) Slowly raise your arms and legs up off of the floor and
    hold onto this position for a few seconds until you feel
    a tight stretch in your core and back muscles.


3.) Return back to the starting position."
leg raises,"Steps:


1.) Lie on your back, legs straight and together.


2.) Keep your legs straight and lift them all the way up to
    the ceiling until your butt comes off the floor.


3.) Slowly lower your legs back down till they're just above
    the floor. Hold for a moment.


4.) Raise your legs back up. Repeat."
donkey kick,"Steps:


1.) Position yourself on all fours on a mat.


2.) Position your hands underneath your shoulders and place
    your knees under your hips.


3.) Keep your right knee bent at 90 degrees and flex the
    foot as you lift the knee until it is level with the hip.


4.) Lower the knee without touching the floor and repeat
    the lift with other leg."
bicycle,"Steps:


1.) Lie on your back with your knees bent and feet flat on
    the floor. Place your hands behind head.


2.) Raise your shoulder blades off the ground and lift your
    legs off the floor and bend knees are to 90 degrees.
    Then slowly pedal them in the air, alternating
"
pike pushup,"Steps:


1.) Assume a pushup position on the floor. Your arms should be
    straight and your hands should be shoulder-width apart.


2.) Now lift up your hips so that your body forms an upside
    down V. Your legs and arms should stay as straight as
    possible.


3.) Bend your elbows and lower your upper body until the top
    of your head nearly touches the floor.


4.) Pause, and then push yourself back up until your arms are
    straight. "
inverted rows,"Steps:

1)Set the bar (or your rings) around waist height.

2)Position yourself under the bar lying face up. 

3)Grab the bar with an overhand grip, slightly wider 
than shoulder-width (palms facing AWAY from you).

4)Contract your abs and butt, and keep your body
a completely straight line."
